year,month,day,hour,minute,second,lat(deg),lon(deg),depth(km),x(m),y(m),z(m),magnitude
2014,06,06,03,37,34.960,37.660872,-118.849121,5.942,194.8,578.2,-48.7,-0.41
2014,06,06,03,38,37.690,37.660596,-118.849178,5.941,189.3,547.4,-50.3,-0.43
2014,06,06,03,42,31.210,37.660767,-118.849064,5.945,199.6,566.2,-46.1,0.31
2014,06,06,03,53,28.760,37.660754,-118.849162,5.917,191.1,564.8,-74.5,-0.16
2014,06,06,04,12,44.140,37.660718,-118.849105,5.946,195.9,560.7,-45.0,0.36
2014,06,06,04,12,51.920,37.660889,-118.849072,5.951,198.8,579.8,-40.5,-0.30
2014,06,06,04,52,36.010,37.652783,-118.848722,6.420,229.5,-319.7,428.7,0.35
2014,06,06,05,32,39.970,37.660994,-118.849154,5.899,192.1,591.7,-91.8,0.60
2014,06,06,05,52,44.650,37.661076,-118.849129,5.931,193.9,600.8,-60.6,-0.42
2014,06,06,06,23,38.270,37.661259,-118.849154,5.972,191.7,620.9,-19.5,-0.47
2014,06,06,06,44,19.560,37.660392,-118.848787,6.005,224.1,524.7,14.1,-0.53
2014,06,06,07,28,26.280,37.637744,-118.878695,8.398,-2415.5,-1989.0,2406.4,-0.13
2014,06,06,07,39,41.490,37.661072,-118.849146,5.930,192.4,600.4,-61.1,0.33
2014,06,06,07,43,13.030,37.661088,-118.849113,5.924,195.2,602.2,-67.3,-0.27
2014,06,06,07,50,56.190,37.661182,-118.849178,5.921,189.4,612.5,-69.8,0.06
2014,06,06,08,13,05.580,37.661226,-118.849137,5.982,193.0,617.5,-8.9,0.36
2014,06,06,08,13,15.800,37.661092,-118.849137,5.976,193.0,602.3,-15.6,-0.24
