time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-03-09T13:03:38.008Z,39.5227,-119.9302,6.1,0.5,ml,11,54.88,0.003,0.1933,nn,nn00503985,2018-07-24T21:29:04.691Z,"Nevada",earthquake,,2,0.31,5,reviewed,nn,nn
2008-03-09T13:32:44.491Z,39.5243,-119.9255,6.5,0.2,ml,8,75.21,0.006,0.1097,nn,nn00503992,2017-06-19T19:04:54.334Z,"Nevada",earthquake,,2.5,0.05,4,reviewed,nn,nn
2008-03-09T13:42:08.974Z,39.5223,-119.9315,5.5,0.4,ml,7,82.75,0.002,0.1099,nn,nn00503997,2018-07-24T21:29:04.995Z,"Nevada",earthquake,,3.8,0.48,5,reviewed,nn,nn
2008-03-09T13:42:46.782Z,39.5114,-119.9509,5.4,0.3,ml,5,175.08,0.018,0.1458,nn,nn00503998,2018-07-24T21:29:05.093Z,"Nevada",earthquake,,8.5,0.48,3,reviewed,nn,nn
2008-03-09T13:49:44.436Z,39.5188,-119.9294,5,0.6,ml,16,54.58,0.002,0.126,nn,nn00504192,2018-07-24T21:29:05.301Z,"Nevada",earthquake,,1.9,0.39,6,reviewed,nn,nn
2008-03-09T14:36:14.305Z,39.5142,-119.9286,5.1,0.2,ml,9,72.93,0.006,0.1709,nn,nn00504199,2018-07-24T21:29:05.420Z,"Nevada",earthquake,,2.9,0.49,4,reviewed,nn,nn
2008-03-09T15:08:38.558Z,39.5221,-119.9282,4.4,0.9,ml,22,34.85,0.003,0.1095,nn,nn00237680,2018-07-24T21:29:01.249Z,"Nevada",earthquake,,1.8,0.44,5,reviewed,nn,nn
2008-03-09T16:22:44.946Z,39.5216,-119.9244,6.3,0.2,ml,4,138.56,0.005,0.1607,nn,nn00504233,2018-07-24T21:29:05.517Z,"Nevada",earthquake,,5.8,0.07,3,reviewed,nn,nn
2008-03-09T17:33:17.435Z,39.5159,-119.9418,5.8,0.3,ml,6,94.57,0.01,0.1007,nn,nn00504240,2018-07-24T21:29:05.613Z,"Nevada",earthquake,,5.2,0.5,3,reviewed,nn,nn
2008-03-09T20:53:14.454Z,39.5219,-119.9315,3.9,0.5,ml,17,54.73,0.002,0.1342,nn,nn00237625,2018-07-24T21:29:00.847Z,"Nevada",earthquake,,2.2,0.36,4,reviewed,nn,nn
2008-03-10T02:17:43.399Z,39.5303,-119.9352,5.2,0.4,ml,9,81.42,0.08,0.1517,nn,nn00475735,2018-07-24T21:29:08.993Z,"Nevada",earthquake,,3.5,0.38,5,reviewed,nn,nn
