YYYY,MM,DD,hh,mm,ss.ss,Lat(deg),Long(deg),depth(km)
2014,02,04,05,37,13.35,37.629366,-119.024528,4.907
2014,02,04,05,37,21.10,37.629232,-119.024788,4.909
2014,02,04,05,37,40.16,37.629382,-119.024618,4.882
2014,02,04,05,47,54.00,37.630461,-119.025350,4.715
2014,02,04,05,56,02.00,37.631104,-119.021427,4.927
2014,02,04,06,30,00.00,37.630965,-119.020760,4.884
2014,02,04,06,31,15.40,37.631099,-119.022209,4.774
2014,02,04,06,31,36.43,37.628703,-119.025431,4.893
2014,02,04,06,43,36.58,37.629895,-119.023218,4.952
2014,02,04,06,45,20.92,37.631901,-119.021745,4.948
2014,02,04,07,12,10.18,37.630497,-119.022306,4.911
2014,02,04,07,18,28.36,37.630363,-119.022559,4.931
2014,02,04,07,19,31.42,37.631246,-119.022217,4.767
2014,02,04,07,22,30.54,37.632471,-119.022021,4.875
2014,02,04,07,24,18.49,37.632251,-119.022111,4.827
2014,02,04,07,37,53.46,37.628007,-119.020939,5.077
2014,02,04,07,38,04.78,37.627726,-119.020744,5.101
2014,02,04,07,38,31.17,37.627405,-119.021183,5.150
2014,02,04,07,38,48.79,37.626725,-119.021533,5.198
2014,02,04,07,38,52.37,37.626860,-119.021419,5.155
2014,02,04,07,39,00.68,37.627006,-119.021273,5.154
2014,02,04,07,39,20.45,37.627120,-119.021737,5.177
2014,02,04,07,39,35.02,37.626668,-119.021729,5.183
2014,02,04,07,40,00.67,37.626404,-119.022135,5.188
2014,02,04,07,40,53.25,37.627201,-119.021672,5.068
2014,02,04,07,40,58.40,37.626632,-119.021427,5.147
2014,02,04,07,41,02.68,37.626994,-119.021411,5.135
2014,02,04,07,41,06.68,37.627116,-119.021525,5.132
2014,02,04,07,41,12.43,37.627254,-119.021761,5.085
2014,02,04,07,41,30.46,37.628149,-119.020996,5.111
2014,02,04,07,42,14.12,37.627299,-119.021330,5.017
2014,02,04,07,42,48.37,37.630436,-119.022160,4.913
2014,02,04,07,43,33.93,37.626249,-119.022152,5.223
2014,02,04,07,43,38.06,37.626147,-119.022209,5.237
2014,02,04,07,44,00.78,37.628499,-119.020825,5.117
2014,02,04,07,46,57.16,37.627498,-119.021305,5.057
2014,02,04,07,53,24.40,37.627405,-119.021313,5.025
2014,02,04,07,54,00.90,37.627665,-119.020752,5.008
2014,02,04,07,54,25.24,37.627441,-119.021411,5.023
2014,02,04,07,55,27.43,37.627702,-119.021183,5.013
2014,02,04,07,55,44.01,37.627787,-119.020630,5.108
2014,02,04,07,56,14.25,37.627869,-119.020785,5.059
2014,02,04,07,59,56.37,37.627852,-119.021029,4.977
2014,02,04,08,02,22.57,37.627836,-119.020964,5.022
2014,02,04,08,03,55.96,37.627405,-119.020972,5.063
2014,02,04,08,04,14.04,37.627482,-119.021191,5.059
2014,02,04,08,06,11.80,37.626819,-119.021582,5.116
2014,02,04,08,06,26.06,37.627799,-119.021126,4.966
2014,02,04,08,10,10.31,37.626819,-119.021859,5.143
2014,02,04,08,16,45.81,37.628292,-119.020557,5.101
2014,02,04,08,21,32.45,37.632686,-119.021810,4.875
2014,02,04,08,24,49.67,37.631006,-119.023104,4.721
2014,02,04,08,25,08.11,37.630656,-119.023193,4.808
2014,02,04,08,26,04.21,37.631108,-119.022990,4.806
2014,02,04,08,26,49.48,37.629313,-119.021143,5.051
2014,02,04,08,27,51.63,37.631246,-119.023503,4.734
2014,02,04,08,28,13.28,37.631075,-119.023381,4.758
2014,02,04,09,02,17.35,37.632145,-119.022046,4.849
2014,02,04,09,20,42.62,37.632328,-119.022217,4.891
2014,02,04,09,23,39.42,37.635608,-119.019743,4.811
2014,02,04,09,25,30.14,37.631677,-119.021753,4.905
2014,02,04,09,25,33.96,37.630302,-119.023332,4.767
2014,02,04,09,25,39.44,37.630164,-119.024235,4.735
2014,02,04,09,25,52.31,37.630444,-119.022689,4.896
2014,02,04,09,26,05.00,37.630029,-119.023763,4.869
2014,02,04,09,26,16.00,37.630514,-119.023674,4.882
2014,02,04,09,26,20.44,37.630098,-119.023364,4.894
2014,02,04,09,26,57.56,37.630249,-119.023112,4.851
2014,02,04,09,27,08.00,37.630546,-119.022884,4.874
2014,02,04,09,28,15.44,37.632507,-119.022835,4.872
2014,02,04,09,28,25.17,37.631205,-119.022689,4.797
2014,02,04,09,28,59.60,37.632686,-119.022705,4.842
2014,02,04,09,29,04.99,37.632227,-119.022900,4.942
2014,02,04,09,29,08.00,37.632768,-119.022510,4.874
2014,02,04,09,29,18.98,37.632320,-119.022974,4.866
2014,02,04,09,30,39.53,37.630192,-119.023250,4.848
2014,02,04,09,44,51.02,37.631868,-119.021493,4.808
2014,02,04,09,45,50.11,37.629924,-119.024829,4.818
2014,02,04,09,47,21.90,37.630562,-119.022298,5.006
2014,02,04,09,50,05.12,37.630290,-119.023543,4.784
2014,02,04,09,53,51.68,37.629659,-119.024740,4.803
2014,02,04,09,59,12.54,37.631234,-119.022656,4.813
2014,02,04,10,01,57.78,37.631205,-119.023682,4.655
2014,02,04,10,04,17.48,37.631307,-119.023397,4.776
2014,02,04,10,06,53.37,37.629500,-119.023381,4.927
2014,02,04,10,07,11.52,37.629854,-119.022892,4.913
2014,02,04,10,08,24.45,37.630355,-119.022477,4.961
2014,02,04,10,08,32.61,37.631344,-119.023429,4.760
2014,02,04,10,08,36.39,37.630713,-119.022673,4.926
2014,02,04,10,09,02.11,37.630672,-119.023706,4.821
2014,02,04,10,10,27.73,37.631409,-119.023356,4.741
2014,02,04,10,10,46.29,37.630363,-119.023153,4.856
2014,02,04,10,12,13.55,37.632601,-119.021908,4.890
2014,02,04,10,12,50.82,37.632613,-119.021956,4.850
2014,02,04,10,19,44.45,37.627144,-119.021200,5.017
2014,02,04,10,20,27.13,37.633000,-119.022355,4.803
2014,02,04,10,21,27.45,37.632780,-119.022485,4.878
2014,02,04,10,21,31.33,37.632857,-119.022363,4.864
2014,02,04,10,27,45.48,37.630351,-119.022982,4.858
2014,02,04,10,29,46.37,37.630782,-119.023438,4.783
2014,02,04,10,30,20.15,37.631307,-119.024072,4.707
2014,02,04,10,30,28.56,37.630794,-119.024194,4.689
2014,02,04,10,30,38.62,37.630729,-119.023364,4.789
2014,02,04,10,30,46.74,37.630575,-119.023527,4.783
2014,02,04,10,31,09.33,37.630542,-119.023983,4.722
2014,02,04,10,31,50.38,37.630892,-119.023250,4.732
2014,02,04,10,32,36.63,37.630729,-119.022965,4.848
2014,02,04,10,32,39.50,37.630758,-119.023934,4.849
2014,02,04,10,32,55.39,37.630754,-119.024137,4.799
2014,02,04,10,33,36.62,37.631132,-119.024080,4.773
2014,02,04,10,38,18.66,37.630806,-119.024284,4.713
2014,02,04,10,41,16.36,37.630766,-119.022266,4.869
2014,02,04,10,41,53.50,37.630603,-119.023031,4.877
2014,02,04,10,46,56.53,37.632438,-119.021932,4.914
2014,02,04,10,47,55.21,37.631148,-119.023543,4.773
2014,02,04,10,50,21.04,37.630782,-119.023136,4.901
2014,02,04,10,51,14.47,37.630086,-119.023356,4.913
2014,02,04,10,51,33.46,37.630863,-119.022046,4.900
2014,02,04,10,57,28.54,37.632178,-119.023006,4.694
2014,02,04,11,02,36.27,37.631278,-119.023551,4.854
2014,02,04,11,02,58.63,37.631726,-119.022518,4.766
2014,02,04,11,03,10.24,37.631868,-119.022518,4.714
2014,02,04,11,03,16.60,37.631685,-119.022355,4.793
2014,02,04,11,03,27.64,37.631592,-119.022323,4.852
2014,02,04,11,03,49.41,37.631551,-119.022599,4.768
2014,02,04,11,09,13.10,37.630371,-119.022445,4.927
2014,02,04,11,11,08.22,37.631323,-119.023088,4.755
2014,02,04,11,11,12.77,37.631429,-119.023055,4.731
2014,02,04,11,11,33.65,37.631539,-119.023104,4.773
2014,02,04,11,11,44.23,37.631616,-119.023006,4.756
2014,02,04,11,11,57.63,37.631323,-119.023657,4.686
2014,02,04,11,12,01.11,37.631152,-119.023250,4.830
2014,02,04,11,12,21.37,37.631551,-119.022957,4.778
2014,02,04,11,12,46.74,37.631478,-119.023560,4.686
2014,02,04,11,12,56.71,37.631470,-119.023031,4.709
2014,02,04,11,13,32.21,37.631836,-119.022917,4.859
2014,02,04,11,13,38.54,37.631234,-119.022542,4.951
2014,02,04,11,13,45.44,37.631966,-119.022778,4.881
2014,02,04,11,14,04.01,37.631934,-119.022526,4.869
2014,02,04,11,14,11.76,37.632503,-119.022396,4.917
2014,02,04,11,14,30.31,37.631742,-119.022632,4.875
2014,02,04,11,14,39.86,37.631519,-119.023372,4.950
2014,02,04,11,14,50.73,37.632052,-119.022648,4.856
2014,02,04,11,14,58.42,37.631771,-119.023136,4.910
2014,02,04,11,15,39.60,37.630294,-119.024504,4.607
2014,02,04,11,15,49.92,37.630347,-119.024341,4.797
2014,02,04,11,19,44.46,37.631140,-119.023649,4.777
2014,02,04,11,20,34.14,37.631165,-119.023641,4.884
2014,02,04,11,22,05.33,37.630701,-119.024219,4.729
2014,02,04,11,23,07.90,37.627323,-119.021094,5.029
2014,02,04,11,27,07.00,37.630754,-119.023299,4.942
2014,02,04,11,30,03.45,37.631527,-119.020467,5.175
2014,02,04,11,30,23.24,37.631539,-119.022510,4.715
2014,02,04,11,33,24.52,37.631222,-119.023820,4.693
2014,02,04,11,41,12.47,37.633130,-119.022225,4.796
2014,02,04,11,43,30.39,37.630330,-119.023096,4.846
2014,02,04,11,45,33.41,37.628003,-119.021354,4.933
